name	category	kind	input_hex	error_code	expected_hex
unicode_leading_emoji	unicode_position	must_fail	f09f9880256e53636c303132333435363738396162636465666768696a	invalid_character	
unicode_emoji_mid_block_group	unicode_position	must_fail	3031f09f98803334	invalid_character	
unicode_emoji_immediately_after_valid_signal	unicode_position	must_fail	256e536336f09f988061616161	invalid_character	
unicode_combining_accent_after_valid_literal	unicode_position	must_fail	65cc81616263	invalid_character	
unicode_astral_plane_char_in_segment	unicode_position	must_fail	256e536336f09d908061616161	invalid_character	
zero_length_signal_mid_stream	zero_length_signal	valid	256e5363317670412e53		61626364
zero_length_signal_with_nonzero_mask	zero_length_signal	valid	2575444f2d7670412e53		61626364
zero_length_signal_at_end_of_stream	zero_length_signal	valid	7670412e53256e536331		61626364
two_consecutive_zero_length_signals	zero_length_signal	valid	256e536331256e5363317670412e53		61626364
reserved_signal_all_max_digits	invalid_signal	must_fail	2323232323	reserved_signal_value	
reserved_signal_just_above_boundary	invalid_signal	must_fail	257544552b	reserved_signal_value	
valid_signal_at_max_boundary_then_data	invalid_signal	valid	257544553a30313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930		30313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930313233343536373839303132333435363738393031323334353637383930
signal_declares_length_exceeding_available_data	invalid_signal	must_fail	256e5369326161616161616161616161616161616161616161	unexpected_end_of_stream	
signal_declares_length_exceeding_by_one	invalid_signal	must_fail	256e536362616161616161616161	unexpected_end_of_stream	
dangling_escape_at_segment_end	wrong_escaping	must_fail	256e5363327e	dangling_escape_character	
dangling_escape_does_not_leak_into_next_segment	wrong_escaping	must_fail	256e53633461617e7670412e53	dangling_escape_character	
escape_followed_by_invalid_character	wrong_escaping	must_fail	256e5363337e01	invalid_character	
odd_number_of_tildes_in_segment	wrong_escaping	must_fail	256e5363347e7e7e	dangling_escape_character	
